,genotype,animal,recording,cell
0,KO,3705,210219_s2r2_Results.csv,10
1,KO,3708,210218_s2r2_Results.csv,24
2,KO,3890,210315_s1r2_Results.csv,15
3,KO,4022,210520_s1r2_Results.csv,9
4,KO,4022,210520_s2r2_Results.csv,7
5,KO,USC-01932,200320_s1r1_Results.csv,15
6,KO,USC-01932,200320_s3r1_Results.csv,23
7,wt,2388,200724_s1r2_Results.csv,9
8,wt,3832,210225_s1r2_Results.csv,29
9,wt,3833,210226_s2r2_Results.csv,6
10,wt,3835,210304_s4r2_Results.csv,35
11,wt,3906,210312_s3r2_Results.csv,40
12,wt,USC-2320,200610_s2r1_Results.csv,18
13,wt,USC-2320,200610_s3r1_Results.csv,13
14,wt,USC-2320,200610_s4r1_Results.csv,16
15,wt,USC-2320,200610_s5r1_Results.csv,25
16,wt,USC-2343,200722_s1r2_Results.csv,6
17,wt,USC-2343,200722_s2r2_Results.csv,11
