Well;Experiment;Genotype;ID;Dilution
A01;UNK;UNK;1;1
B01;UNK;UNK;2;1
C01;UNK;UNK;3;1
D01;UNK;UNK;4;1
E01;UNK;UNK;5;1
F01;UNK;UNK;6;1
G01;UNK;UNK;7;1
H01;UNK;UNK;8;1
A02;UNK;UNK;6850;4
B02;UNK;UNK;6850;4
C02;UNK;UNK;6847;4
D02;UNK;UNK;6847;4
E02;UNK;UNK;6848;4
F02;UNK;UNK;6848;4
G02;Cacna1hKO;KO;7025;4
H02;Cacna1hKO;KO;7025;4
A03;Cacna1hKO;WT;7134;4
B03;Cacna1hKO;WT;7134;4
C03;Cacna1hKO;WT;7129;4
D03;Cacna1hKO;WT;7129;4
E03;Cacna1hKO;WT;7132;4
F03;Cacna1hKO;WT;7132;4
G03;Cacna1hKO;KO;7127;4
H03;Cacna1hKO;KO;7127;4
A04;Cacna1hKO;WT;6221;4
B04;Cacna1hKO;WT;6221;4
C04;Cacna1hKO;KO;7128;4
D04;Cacna1hKO;KO;7128;4
E04;Cacna1hKO;KO;6148;4
F04;Cacna1hKO;KO;6148;4
G04;Cacna1hKO;KO;7204;4
H04;Cacna1hKO;KO;7204;4
A05;Cacna1hKO;WT;7202;4
B05;Cacna1hKO;WT;7202;4
C05;Cacna1hKO;WT;6668;4
D05;Cacna1hKO;WT;6668;4
E05;Cacna1hKO;KO;6147;4
F05;Cacna1hKO;KO;6147;4
G05;UNK;UNK;6222;4
H05;UNK;UNK;6222;4
A06;UNK;UNK;960;4
B06;UNK;UNK;960;4
C06;UNK;UNK;961;4
D06;UNK;UNK;961;4
E06;UNK;UNK;735;4
F06;UNK;UNK;735;4
G06;UNK;UNK;8;1
H06;UNK;UNK;8;1
