,GENEID,log2FoldChange,padj,GENENAME
7480,ENSMUSG00000029816,-3.05220951743076,2.2182482197213203e-15,Gpnmb
5310,ENSMUSG00000026077,-1.99443277566271,3.91863688497638e-07,Npas2
4278,ENSMUSG00000024112,-1.66598736908571,8.771041317715419e-42,Cacna1h
10524,ENSMUSG00000037106,-1.47860219484014,0.000143820082577,Fer1l6
14786,ENSMUSG00000051067,-1.37783046282055,5.10445126304112e-06,Lingo3
13808,ENSMUSG00000047361,-1.16703210367162,0.0103795465994307,Gm973
14622,ENSMUSG00000050447,-1.09479930803673,9.33813179530225e-06,Lypd6
18767,ENSMUSG00000072676,-1.09003422101313,2.01846037012143e-08,Tmem254a
14746,ENSMUSG00000050931,-1.06966749014608,0.0024089985292222,Sgms2
10808,ENSMUSG00000037887,-1.06026634204132,0.0029695997085821,Dusp8
8657,ENSMUSG00000032010,-1.01133225123594,0.001227865973056,Usp2
