,U_mV,Name2,animal,I_pA_IV,Name2_IV40,animal_IV40,I_pA_IV40,I_pA_IV_diff,genotype
0,-35,4537_WT_E-9_1,4537_WT,-59.69886572827035,4537_WT_E-9_1,4537_WT,-15.6159902155809,-44.08287551268945,WT
1,15,4537_WT_E-9_1,4537_WT,-55.45814812693256,4537_WT_E-9_1,4537_WT,-25.83030347770917,-29.627844649223388,WT
2,-35,4537_WT_E-10_2,4537_WT,-23.17985993951686,4537_WT_E-10_2,4537_WT,-11.64367066417016,-11.536189275346699,WT
3,15,4537_WT_E-10_2,4537_WT,-30.46502505376105,4537_WT_E-10_2,4537_WT,-28.10349785595696,-2.36152719780409,WT
4,-35,4720_WT_E-3_1,4720_WT,-85.52949294430886,4720_WT_E-3_1,4720_WT,-1.67429574990474,-83.85519719440411,WT
5,15,4720_WT_E-3_1,4720_WT,-57.01144610444689,4720_WT_E-3_1,4720_WT,-33.01088448271327,-24.000561621733617,WT
6,-35,4720_WT_E-6_4,4720_WT,-66.30929926248231,4720_WT_E-6_4,4720_WT,-3.577233868812665,-62.73206539366965,WT
7,15,4720_WT_E-6_4,4720_WT,-16.03409430023673,4720_WT_E-6_4,4720_WT,-16.39291428245971,0.35881998222297895,WT
8,-35,4720_WT_E-7_5,4720_WT,-40.22016746948249,4720_WT_E-7_5,4720_WT,-13.31484056464387,-26.90532690483862,WT
9,15,4720_WT_E-7_5,4720_WT,-43.62756698897692,4720_WT_E-7_5,4720_WT,-29.64888888720326,-13.978678101773664,WT
10,-35,4721_WT_E-10_3,4721_WT,-88.5488444412674,4721_WT_E-10_3,4721_WT,1.884449427560456,-90.43329386882786,WT
11,15,4721_WT_E-10_3,4721_WT,-144.8692527415296,4721_WT_E-10_3,4721_WT,-60.68748715421914,-84.18176558731047,WT
12,-35,4721_WT_E-12_5,4721_WT,-42.93190730032329,4721_WT_E-12_5,4721_WT,-16.65564001602369,-26.2762672842996,WT
13,15,4721_WT_E-12_5,4721_WT,-63.59216927222963,4721_WT_E-12_5,4721_WT,-58.01169282228774,-5.580476449941891,WT
14,-35,4403_KO_E-5_1,4403_KO,-23.32021547857688,4403_KO_E-5_1,4403_KO,5.471274421876571,-28.791489900453453,KO
15,15,4403_KO_E-5_1,4403_KO,-8.75783836837407,4403_KO_E-5_1,4403_KO,-11.29018065160653,2.5323422832324596,KO
16,-35,4403_KO_E-6_2,4403_KO,-14.45036122683638,4403_KO_E-6_2,4403_KO,-14.58806054562161,0.13769931878523067,KO
17,15,4403_KO_E-6_2,4403_KO,-17.42550665848893,4403_KO_E-6_2,4403_KO,-67.29612302994411,49.870616371455185,KO
18,-35,4511_KO_E-14_3,4511_KO,-14.54236580780773,4511_KO_E-14_3,4511_KO,2.240594287383157,-16.782960095190887,KO
19,15,4511_KO_E-14_3,4511_KO,-30.53738716682653,4511_KO_E-14_3,4511_KO,-13.85023557370695,-16.68715159311958,KO
20,-35,4507_KO_E-47_2,4507_KO,-25.99944099149634,4507_KO_E-47_2,4507_KO,7.236255200441216,-33.235696191937556,KO
21,15,4507_KO_E-47_2,4507_KO,-54.89365184168901,4507_KO_E-47_2,4507_KO,-43.20818409203865,-11.685467749650357,KO
22,-35,4507_KO_E-48_3,4507_KO,-11.41747364600956,4507_KO_E-48_3,4507_KO,-11.44119898242134,0.023725336411780873,KO
23,15,4507_KO_E-48_3,4507_KO,-53.82029695337968,4507_KO_E-48_3,4507_KO,-39.02479754728323,-14.795499406096454,KO
24,-35,4507_KO_E-49_4,4507_KO,-16.17624176921038,4507_KO_E-49_4,4507_KO,-14.38663701442449,-1.7896047547858913,KO
25,15,4507_KO_E-49_4,4507_KO,-49.90213396624826,4507_KO_E-49_4,4507_KO,-45.36694964271226,-4.535184323536001,KO
26,-35,4533_KO_E-13_1,4533_KO,-1.734348079814605,4533_KO_E-13_1,4533_KO,0.9564712662840645,-2.6908193460986696,KO
27,15,4533_KO_E-13_1,4533_KO,-13.64596644126102,4533_KO_E-13_1,4533_KO,-20.76729146801186,7.121325026750839,KO
28,-35,4533_KO_E-14_2,4533_KO,-4.88526503788973,4533_KO_E-14_2,4533_KO,-11.21918572040344,6.3339206825137095,KO
29,15,4533_KO_E-14_2,4533_KO,-31.22389252062006,4533_KO_E-14_2,4533_KO,-14.93800348106503,-16.28588903955503,KO
30,-35,4533_KO_E-16_4,4533_KO,-28.06008349941527,4533_KO_E-16_4,4533_KO,-11.27108467564811,-16.78899882376716,KO
31,15,4533_KO_E-16_4,4533_KO,-74.13882280045425,4533_KO_E-16_4,4533_KO,-40.30180061746367,-33.83702218299058,KO
